time,pc,cluster_size,actual_rate,required_rate,arrival_rate,idle_ues,queued_ues,active_ues,signal_power,interference,sum_tx_power,avg_antennas,sm0_cnt,sm1_cnt,sm2_cnt,sm3_cnt,bs_0_n_ants,bs_0_conn_mode,bs_0_sleep_mode,bs_1_n_ants,bs_1_conn_mode,bs_1_sleep_mode,bs_2_n_ants,bs_2_conn_mode,bs_2_sleep_mode,bs_3_n_ants,bs_3_conn_mode,bs_3_sleep_mode,bs_4_n_ants,bs_4_conn_mode,bs_4_sleep_mode,bs_5_n_ants,bs_5_conn_mode,bs_5_sleep_mode,bs_6_n_ants,bs_6_conn_mode,bs_6_sleep_mode,bs_7_n_ants,bs_7_conn_mode,bs_7_sleep_mode,bs_8_n_ants,bs_8_conn_mode,bs_8_sleep_mode,bs_9_n_ants,bs_9_conn_mode,bs_9_sleep_mode,bs_10_n_ants,bs_10_conn_mode,bs_10_sleep_mode,bs_11_n_ants,bs_11_conn_mode,bs_11_sleep_mode,bs_12_n_ants,bs_12_conn_mode,bs_12_sleep_mode,bs_13_n_ants,bs_13_conn_mode,bs_13_sleep_mode,bs_14_n_ants,bs_14_conn_mode,bs_14_sleep_mode,bs_15_n_ants,bs_15_conn_mode,bs_15_sleep_mode,bs_16_n_ants,bs_16_conn_mode,bs_16_sleep_mode,bs_17_n_ants,bs_17_conn_mode,bs_17_sleep_mode,bs_18_n_ants,bs_18_conn_mode,bs_18_sleep_mode,bs_19_n_ants,bs_19_conn_mode,bs_19_sleep_mode,bs_20_n_ants,bs_20_conn_mode,bs_20_sleep_mode,bs_21_n_ants,bs_21_conn_mode,bs_21_sleep_mode,bs_22_n_ants,bs_22_conn_mode,bs_22_sleep_mode,bs_23_n_ants,bs_23_conn_mode,bs_23_sleep_mode,bs_24_n_ants,bs_24_conn_mode,bs_24_sleep_mode,reward,pc_kw,se,qos_reward,drop_ratio
"Mon, 00:00",0.0,6,0.0,0.0,0.0,0,0,0,0.0,0.0,40.000000000000014,16.0,25,0,0,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,16,1,0,0.0,0.0,0.0,0.0,0.0
"Mon, 00:01",599.6101567149427,6,0.0,0.0,0.0,0,0,0,0.0,0.0,7.000000000000001,15.44,5,14,0,6,14,-1,1,16,1,1,14,0,0,16,1,1,14,-1,1,16,1,3,16,-1,1,16,-1,1,16,-1,1,16,1,3,16,1,3,16,-1,1,16,-1,1,16,-1,1,16,1,3,16,1,3,16,-1,1,16,-1,1,16,-1,1,16,1,3,14,0,0,14,0,0,16,1,1,14,0,0,14,0,0,-0.2998050783574714,0.5996101567149428,0.0,0.0,0.0
"Mon, 00:02",533.413187705868,6,74.91442904166807,4.3870573102188555,0.0,0,0,1,3.566931617245828e-11,0.0,8.4,14.64,6,7,2,10,12,1,0,16,1,0,12,0,0,16,1,3,12,1,0,14,0,3,16,1,0,16,-1,2,16,1,0,14,0,3,16,1,3,16,1,1,16,-1,1,16,1,1,14,0,3,16,0,3,16,-1,1,16,-1,1,16,-1,1,16,-1,3,12,0,3,12,1,2,16,1,1,12,0,3,12,0,3,-0.26670659385293405,0.5334131877058681,7.116870758958466,0.0,0.0
"Mon, 00:03",452.1940722667068,6,0.0,0.0,0.0,0,0,0,0.0,0.0,2.8000000000000003,14.56,2,9,0,14,12,0,0,16,-1,3,10,1,1,16,-1,3,14,0,1,16,0,3,16,1,1,16,-1,0,14,-1,1,14,0,3,16,1,3,14,1,1,16,1,1,16,1,1,16,-1,3,16,1,3,16,1,3,16,-1,1,16,1,3,14,0,3,14,0,3,10,0,3,16,1,1,10,-1,3,14,0,3,-0.052763876133180065,0.4521940722667068,0.0,0.17333316000017335,0.0
"Mon, 00:04",376.92985427876414,6,55.78336302706778,1.7647667811842696,0.0,0,0,1,9.324521535324027e-12,0.0,1.4000000000000001,14.64,1,5,1,18,12,1,1,16,1,3,8,0,3,16,1,3,14,0,1,14,0,3,16,1,3,16,-1,1,14,1,0,16,1,3,16,1,3,16,1,3,16,-1,2,16,1,3,14,0,3,16,-1,3,14,1,3,16,-1,1,16,1,3,12,0,3,16,-1,3,12,0,3,16,1,1,12,0,3,16,-1,3,-0.18846492713938207,0.37692985427876413,5.299419487571439,0.0,0.0
"Mon, 00:05",364.8347488515788,6,86.73328824932433,9.549099403720783,0.0,0,0,1,8.117699586602556e-11,0.0,3.0,15.28,2,3,1,19,12,0,1,16,1,3,10,1,3,16,-1,3,16,1,1,16,1,3,16,0,3,16,1,0,14,1,0,16,1,3,16,1,3,16,0,3,16,0,3,16,1,3,16,-1,3,16,1,3,16,1,3,16,1,1,16,-1,3,14,1,3,16,-1,3,14,0,3,16,1,2,14,1,3,16,-1,3,0.0002491095743932803,0.3648347488515788,8.239662383685811,0.18266648400018268,0.0
"Mon, 00:06",354.4275786371259,6,36.43080957453757,8.479604887342475,0.0,0,0,1,2.2909209083183268e-12,0.0,1.4000000000000001,15.52,1,5,0,19,14,1,1,16,-1,3,10,0,3,16,-1,3,16,0,1,16,-1,3,16,1,3,16,-1,1,14,1,0,16,0,3,16,1,3,16,1,3,16,1,3,16,1,3,16,0,3,16,1,3,14,1,3,16,1,1,16,1,3,16,-1,3,16,-1,3,16,0,3,16,1,1,16,0,3,16,-1,3,-0.17721378931856296,0.35442757863712593,3.4609269095810684,0.0,0.0
"Mon, 00:07",394.11827045401634,6,63.667223692653366,6.149213695597106,0.0,0,0,1,1.6249704498968192e-11,0.0,4.800000000000001,15.52,3,5,0,17,16,1,1,16,1,3,10,0,3,16,1,0,16,0,1,16,1,3,16,1,3,16,1,1,14,1,1,16,0,3,16,1,0,16,-1,3,16,1,3,16,1,3,14,0,3,16,1,3,14,1,3,16,1,0,16,1,3,16,-1,3,16,-1,3,16,0,3,16,1,1,16,0,3,16,-1,3,-0.045059287226856204,0.3941182704540164,6.04838625080207,0.15199984800015198,0.0
"Mon, 00:08",435.20196990139334,6,74.67845933989089,2.8089080743743953,0.0,0,0,1,3.5087414245599855e-11,0.0,11.0,15.52,7,4,0,14,16,0,1,16,0,0,12,0,3,16,1,0,14,1,0,16,1,0,16,-1,3,16,0,1,16,0,1,14,0,3,16,1,0,16,0,3,16,0,3,16,1,3,12,0,3,16,-1,0,16,-1,3,16,1,0,16,1,3,16,-1,3,16,-1,3,16,1,3,16,-1,1,16,0,3,16,-1,3,-0.0616011409505407,0.43520196990139337,7.094453637289635,0.15599984400015598,0.0
"Mon, 00:09",485.2590081514808,6,176.36371106378485,4.557711217538057,0.0,0,0,2,1.632945734861616e-10,7.251995188623029e-14,15.599999999999998,15.44,10,2,2,11,16,-1,2,14,1,0,14,-1,3,16,0,3,14,0,0,16,1,0,16,0,0,16,0,1,16,1,0,16,-1,3,16,1,0,16,-1,0,14,-1,3,16,-1,3,10,1,1,16,1,0,16,0,3,16,1,0,16,1,3,16,1,0,16,0,3,16,0,3,16,-1,2,16,0,3,16,-1,3,-0.06062968607555844,0.4852590081514808,8.363554280285395,0.18199981800018197,0.0
