id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,num_rejects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_operation_pc,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1987. 2017.  312.  261.],10081.0,201.60000000059856,[126.493  33.013   7.579  34.515],6991.23289595736,1712.0,58018.0,3051.0,25424.0,50179500000.0,767746.6556083771,34.67529459357945,1.0184307112390842,15.688721357008234,34.90538590955464,154.0671437800424,12.559699559846006,2.672849915682968,0.17904969745064975,[0.627 0.164 0.038 0.171],0.4382088317418732,1.5300006090303354e-05,248906249.999261,[ 9.856 10.005  1.548  1.295],8.492063492038278
1,[4549. 4626.  174.  202.],10081.0,201.60000000059856,[96.544 77.143  3.161 24.752],6539.581459923817,2972.0,237033.0,10173.0,207297.0,49710000000.0,725338.5331190259,32.43518232280479,0.7092550342228398,15.63575042158516,32.002389069070944,125.79139794932463,6.165408563789107,1.5848626128360281,0.2694177164963793,[0.479 0.383 0.016 0.123],0.8745491134145879,1.4591400786944796e-05,246577380.95164886,[22.564 22.946  0.863  1.002],14.742063492019723
2,[3074. 3234.  138.  535.],10081.0,201.60000000059856,[80.18  27.28   2.389 91.751],5267.279183567859,2812.0,210424.0,2455.0,184417.0,42091500000.0,725338.5331190259,26.124785158058838,0.5105842674337921,15.617299871044539,25.20158663221574,96.41380324304018,4.801367182881408,1.2461065370498958,0.3429223291340145,[0.398 0.135 0.012 0.455],0.876406683648253,1.723242300984821e-05,208787202.3803325,[15.248 16.042  0.685  2.654],13.948412698371286
3,[4800. 4882.  364.  142.],10081.0,201.60000000059856,[102.07   75.583   6.779  17.168],6720.1845581497955,1828.0,246009.0,7799.0,218012.0,48304500000.0,42408.122489351226,33.33094215925911,0.7412161491916047,15.824620573355817,32.604069096480366,128.17861944234173,5.888522582712552,1.567800813411368,0.1281618887015177,[0.506 0.375 0.034 0.085],0.886195220500063,8.779331633564414e-07,239605654.76119336,[23.81  24.216  1.806  0.704],9.067460317433396
4,[1945. 1959.  297.  310.],10081.0,201.60000000059856,[120.916  31.806   6.598  42.28 ],6785.017281247235,1888.0,59490.0,3899.0,26855.0,50497500000.0,42408.122489351226,33.65250114694661,0.9777403035414265,15.603412359884931,34.00559076805654,150.95931322016156,12.305758222681494,2.616704691994842,0.21664517408987205,[0.6   0.158 0.033 0.21 ],0.4514204067910573,8.398063763424174e-07,250483630.95163727,[9.648 9.717 1.473 1.538],9.36507936505156
5,[3514. 3559.  352.  532.],10081.0,201.60000000059856,[92.905 33.625  6.036 69.034],5808.149827307884,4858.0,222518.0,4603.0,194508.0,46917000000.0,725338.5331190259,28.80740912264615,0.6249776807856631,15.148497172899514,28.01098558340054,111.36365140707973,5.740744757773904,1.461561353040373,0.2735839698442615,[0.461 0.167 0.03  0.342],0.8741225428954063,1.5460036513822833e-05,232723214.28502333,[17.431 17.654  1.746  2.639],24.097222222150677
6,[4425. 4534.  271.  383.],10081.0,201.60000000059856,[102.206  46.315   4.024  49.055],6332.286900709635,4500.0,242405.0,5431.0,207619.0,57864000000.0,767746.6556083771,31.40703749980037,0.650451344112715,15.481202261680389,29.885495728990385,134.4191312938892,6.210970317926876,1.680488046820752,0.23559170717190756,[0.507 0.23  0.02  0.243],0.8564963593985273,1.3268122763866602e-05,287023809.5229573,[21.949 22.49   1.344  1.9  ],22.321428571362297
7,[3738. 4001.  253.  519.],10081.0,201.60000000059856,[82.323 48.448  4.15  66.679],5685.584305202169,7340.0,261013.0,10298.0,227009.0,57922500000.0,42408.122489351226,28.199505531208523,0.5482789405813002,14.849320503918262,27.73039212326894,124.48471355200633,6.001252874993657,1.5779188572562246,0.29580398769963295,[0.408 0.24  0.021 0.331],0.8697229639902994,7.321528333437132e-07,287313988.094385,[18.542 19.846  1.255  2.574],36.40873015862206
8,[4069. 4253.  262.  448.],10081.0,201.60000000059856,[93.613 48.014  4.025 55.948],6072.195662233617,5080.0,252840.0,6696.0,217909.0,57886500000.0,42408.122489351226,30.117030365210592,0.5979367126277331,15.412161491915485,28.9059029957059,131.14822965053054,5.962050878230685,1.6167046919948418,0.29074496577720466,[0.464 0.238 0.02  0.278],0.8618454358487581,7.326081640685e-07,287135416.66581416,[20.184 21.096  1.3    2.222],25.198412698337883
9,[3758. 3825.  352.  521.],10081.0,201.60000000059856,[90.972 36.708  5.465 68.455],5783.135706977207,4148.0,243849.0,5089.0,216444.0,45576000000.0,42408.122489351226,28.683343452917633,0.6179545679992346,15.374863604801112,27.906327964035782,111.42490583536927,5.1307236982813835,1.3774427140164667,0.2396587640115068,[0.451 0.182 0.027 0.34 ],0.8876148764194235,9.304924190220999e-07,226071428.57075736,[18.641 18.973  1.746  2.584],20.575396825335737
